
=============================================
STARTING Stage1
Episodes: 15000 | LR: 0.0001
Global Episode Offset: 0
=============================================
[ENV] On-the-fly curve generation enabled (base_seed=50)
[Stage1] Ep 100 | Avg Rew: -4.49 | Success: 0.00
🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.50, Return=338.45

[Stage2] Ep 9600 | Avg Rew: 320.53 | Success: 0.00 [Prev: 1]
[Stage2] Ep 9700 | Avg Rew: 337.51 | Success: 0.00 [Prev: 1]
[Stage2] Ep 9800 | Avg Rew: 341.31 | Success: 0.00 [Prev: 1]
[Stage2] Ep 9900 | Avg Rew: 334.90 | Success: 0.00 [Prev: 1]
[Stage2] Ep 10000 | Avg Rew: 356.54 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.50, Return=332.44

Checkpoint saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/ckpt_Stage2_ep10000.pth
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/actor_Stage2_ep10000.pth
[Stage2] Ep 10100 | Avg Rew: 292.30 | Success: 0.00 [Prev: 1]
[Stage2] Ep 10200 | Avg Rew: 336.56 | Success: 0.00 [Prev: 1]
[Stage2] Ep 10300 | Avg Rew: 337.48 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 10400 | Avg Rew: 329.94 | Success: 0.00 [Prev: 1]
[Stage2] Ep 10500 | Avg Rew: 311.88 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.20, Return=329.39

[Stage2] Ep 10600 | Avg Rew: 317.37 | Success: 0.00 [Prev: 1]
[Stage2] Ep 10700 | Avg Rew: 355.00 | Success: 0.00 [Prev: 1]
[Stage2] Ep 10800 | Avg Rew: 312.92 | Success: 0.00 [Prev: 1]
[Stage2] Ep 10900 | Avg Rew: 315.44 | Success: 0.00 [Prev: 1]
[Stage2] Ep 11000 | Avg Rew: 352.77 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.60, Return=285.85

[Stage2] Ep 11100 | Avg Rew: 328.53 | Success: 0.00 [Prev: 1]
[Stage2] Ep 11200 | Avg Rew: 329.05 | Success: 0.00 [Prev: 1]
[Stage2] Ep 11300 | Avg Rew: 378.68 | Success: 0.00 [Prev: 1]
[Stage2] Ep 11400 | Avg Rew: 334.10 | Success: 0.00 [Prev: 1]
[Stage2] Ep 11500 | Avg Rew: 302.50 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.20, Return=333.02

[Stage2] Ep 11600 | Avg Rew: 342.89 | Success: 0.00 [Prev: 1]
[Stage2] Ep 11700 | Avg Rew: 341.58 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 11800 | Avg Rew: 323.66 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 11900 | Avg Rew: 306.62 | Success: 0.00 [Prev: 1]
[Stage2] Ep 12000 | Avg Rew: 311.30 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.30, Return=290.14

Checkpoint saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/ckpt_Stage2_ep12000.pth
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/actor_Stage2_ep12000.pth
[Stage2] Ep 12100 | Avg Rew: 330.43 | Success: 0.00 [Prev: 1]
[Stage2] Ep 12200 | Avg Rew: 363.75 | Success: 0.00 [Prev: 1]
[Stage2] Ep 12300 | Avg Rew: 350.49 | Success: 0.00 [Prev: 1]
[Stage2] Ep 12400 | Avg Rew: 341.83 | Success: 0.00 [Prev: 1]
[Stage2] Ep 12500 | Avg Rew: 333.56 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.50, Return=321.65

[Stage2] Ep 12600 | Avg Rew: 341.75 | Success: 0.00 [Prev: 1]
[Stage2] Ep 12700 | Avg Rew: 338.38 | Success: 0.00 [Prev: 1]
[Stage2] Ep 12800 | Avg Rew: 357.40 | Success: 0.00 [Prev: 1]
[Stage2] Ep 12900 | Avg Rew: 323.13 | Success: 0.00 [Prev: 1]
[Stage2] Ep 13000 | Avg Rew: 326.36 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.40, Return=301.95

[Stage2] Ep 13100 | Avg Rew: 301.65 | Success: 0.00 [Prev: 1]
[Stage2] Ep 13200 | Avg Rew: 364.61 | Success: 0.00 [Prev: 1]
[Stage2] Ep 13300 | Avg Rew: 329.94 | Success: 0.00 [Prev: 1]
[Stage2] Ep 13400 | Avg Rew: 334.23 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 13500 | Avg Rew: 357.68 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.40, Return=312.36

[Stage2] Ep 13600 | Avg Rew: 344.21 | Success: 0.00 [Prev: 1]
[Stage2] Ep 13700 | Avg Rew: 324.94 | Success: 0.00 [Prev: 1]
[Stage2] Ep 13800 | Avg Rew: 331.04 | Success: 0.00 [Prev: 1]
[Stage2] Ep 13900 | Avg Rew: 311.14 | Success: 0.00 [Prev: 1]
[Stage2] Ep 14000 | Avg Rew: 342.98 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.30, Return=308.04

Checkpoint saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/ckpt_Stage2_ep14000.pth
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/actor_Stage2_ep14000.pth
[Stage2] Ep 14100 | Avg Rew: 324.12 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 14200 | Avg Rew: 334.17 | Success: 0.00 [Prev: 1]
[Stage2] Ep 14300 | Avg Rew: 331.38 | Success: 0.00 [Prev: 1]
[Stage2] Ep 14400 | Avg Rew: 311.25 | Success: 0.00 [Prev: 1]
[Stage2] Ep 14500 | Avg Rew: 327.88 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.60, Return=236.78

[Stage2] Ep 14600 | Avg Rew: 326.64 | Success: 0.00 [Prev: 1]
[Stage2] Ep 14700 | Avg Rew: 329.80 | Success: 0.00 [Prev: 1]
[Stage2] Ep 14800 | Avg Rew: 319.13 | Success: 0.00 [Prev: 1]
[Stage2] Ep 14900 | Avg Rew: 336.98 | Success: 0.00 [Prev: 1]
[Stage2] Ep 15000 | Avg Rew: 346.30 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.50, Return=320.50

[Stage2] Ep 15100 | Avg Rew: 341.56 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 15200 | Avg Rew: 331.72 | Success: 0.00 [Prev: 1]
[Stage2] Ep 15300 | Avg Rew: 335.41 | Success: 0.00 [Prev: 1]
[Stage2] Ep 15400 | Avg Rew: 333.56 | Success: 0.00 [Prev: 1]
[Stage2] Ep 15500 | Avg Rew: 294.11 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.40, Return=335.82

   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 15600 | Avg Rew: 357.59 | Success: 0.00 [Prev: 1]
[Stage2] Ep 15700 | Avg Rew: 380.78 | Success: 0.00 [Prev: 1]
[Stage2] Ep 15800 | Avg Rew: 363.00 | Success: 0.00 [Prev: 1]
[Stage2] Ep 15900 | Avg Rew: 339.77 | Success: 0.00 [Prev: 1]
[Stage2] Ep 16000 | Avg Rew: 354.81 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.40, Return=322.97

Checkpoint saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/ckpt_Stage2_ep16000.pth
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/actor_Stage2_ep16000.pth
[Stage2] Ep 16100 | Avg Rew: 326.80 | Success: 0.00 [Prev: 1]
[Stage2] Ep 16200 | Avg Rew: 378.03 | Success: 0.00 [Prev: 1]
[Stage2] Ep 16300 | Avg Rew: 350.52 | Success: 0.00 [Prev: 1]
[Stage2] Ep 16400 | Avg Rew: 334.28 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 16500 | Avg Rew: 337.19 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.40, Return=363.77

[Stage2] Ep 16600 | Avg Rew: 376.77 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 16700 | Avg Rew: 344.86 | Success: 0.00 [Prev: 1]
[Stage2] Ep 16800 | Avg Rew: 338.12 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 16900 | Avg Rew: 365.24 | Success: 0.00 [Prev: 1]
[Stage2] Ep 17000 | Avg Rew: 334.03 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.40, Return=323.43

   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 17100 | Avg Rew: 344.52 | Success: 0.00 [Prev: 1]
[Stage2] Ep 17200 | Avg Rew: 386.56 | Success: 0.00 [Prev: 1]
[Stage2] Ep 17300 | Avg Rew: 356.12 | Success: 0.00 [Prev: 1]
[Stage2] Ep 17400 | Avg Rew: 349.04 | Success: 0.00 [Prev: 1]
[Stage2] Ep 17500 | Avg Rew: 360.72 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.50, Return=372.00

[Stage2] Ep 17600 | Avg Rew: 343.40 | Success: 0.00 [Prev: 1]
[Stage2] Ep 17700 | Avg Rew: 328.51 | Success: 0.00 [Prev: 1]
[Stage2] Ep 17800 | Avg Rew: 315.16 | Success: 0.00 [Prev: 1]
[Stage2] Ep 17900 | Avg Rew: 342.79 | Success: 0.00 [Prev: 1]
[Stage2] Ep 18000 | Avg Rew: 351.15 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.70, Return=303.29

Checkpoint saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/ckpt_Stage2_ep18000.pth
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/actor_Stage2_ep18000.pth
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 18100 | Avg Rew: 355.70 | Success: 0.00 [Prev: 1]
[Stage2] Ep 18200 | Avg Rew: 350.41 | Success: 0.00 [Prev: 1]
[Stage2] Ep 18300 | Avg Rew: 326.35 | Success: 0.00 [Prev: 1]
[Stage2] Ep 18400 | Avg Rew: 360.15 | Success: 0.00 [Prev: 1]
[Stage2] Ep 18500 | Avg Rew: 357.27 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.50, Return=348.33

   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 18600 | Avg Rew: 358.11 | Success: 0.00 [Prev: 1]
[Stage2] Ep 18700 | Avg Rew: 344.42 | Success: 0.00 [Prev: 1]
[Stage2] Ep 18800 | Avg Rew: 344.49 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 18900 | Avg Rew: 277.65 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 19000 | Avg Rew: 345.24 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.40, Return=358.17

   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 19100 | Avg Rew: 338.34 | Success: 0.00 [Prev: 1]
[Stage2] Ep 19200 | Avg Rew: 343.63 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 19300 | Avg Rew: 331.51 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 19400 | Avg Rew: 346.46 | Success: 0.00 [Prev: 1]
[Stage2] Ep 19500 | Avg Rew: 351.93 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.70, Return=348.02

[Stage2] Ep 19600 | Avg Rew: 372.30 | Success: 0.00 [Prev: 1]
[Stage2] Ep 19700 | Avg Rew: 330.96 | Success: 0.00 [Prev: 1]
[Stage2] Ep 19800 | Avg Rew: 357.15 | Success: 0.00 [Prev: 1]
[Stage2] Ep 19900 | Avg Rew: 353.92 | Success: 0.00 [Prev: 1]
[Stage2] Ep 20000 | Avg Rew: 356.02 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.40, Return=290.60

Checkpoint saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/ckpt_Stage2_ep20000.pth
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/actor_Stage2_ep20000.pth
[Stage2] Ep 20100 | Avg Rew: 378.52 | Success: 0.00 [Prev: 1]
[Stage2] Ep 20200 | Avg Rew: 378.93 | Success: 0.00 [Prev: 1]
[Stage2] Ep 20300 | Avg Rew: 324.66 | Success: 0.00 [Prev: 1]
[Stage2] Ep 20400 | Avg Rew: 387.11 | Success: 0.00 [Prev: 1]
[Stage2] Ep 20500 | Avg Rew: 402.31 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.20, Return=335.94

[Stage2] Ep 20600 | Avg Rew: 376.05 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 20700 | Avg Rew: 364.34 | Success: 0.00 [Prev: 1]
[Stage2] Ep 20800 | Avg Rew: 352.49 | Success: 0.00 [Prev: 1]
[Stage2] Ep 20900 | Avg Rew: 332.79 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 21000 | Avg Rew: 373.68 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.50, Return=324.12

[Stage2] Ep 21100 | Avg Rew: 361.84 | Success: 0.00 [Prev: 1]
[Stage2] Ep 21200 | Avg Rew: 346.11 | Success: 0.00 [Prev: 1]
[Stage2] Ep 21300 | Avg Rew: 346.37 | Success: 0.00 [Prev: 1]
[Stage2] Ep 21400 | Avg Rew: 374.05 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 21500 | Avg Rew: 372.26 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.60, Return=330.18

[Stage2] Ep 21600 | Avg Rew: 340.72 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 21700 | Avg Rew: 336.83 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 21800 | Avg Rew: 337.34 | Success: 0.00 [Prev: 1]
[Stage2] Ep 21900 | Avg Rew: 350.67 | Success: 0.00 [Prev: 1]
[Stage2] Ep 22000 | Avg Rew: 371.16 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.30, Return=327.84

Checkpoint saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/ckpt_Stage2_ep22000.pth
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/actor_Stage2_ep22000.pth
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 22100 | Avg Rew: 374.52 | Success: 0.00 [Prev: 1]
[Stage2] Ep 22200 | Avg Rew: 365.81 | Success: 0.00 [Prev: 1]
[Stage2] Ep 22300 | Avg Rew: 341.24 | Success: 0.00 [Prev: 1]
[Stage2] Ep 22400 | Avg Rew: 363.04 | Success: 0.00 [Prev: 1]
[Stage2] Ep 22500 | Avg Rew: 375.13 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.30, Return=302.14

[Stage2] Ep 22600 | Avg Rew: 383.08 | Success: 0.00 [Prev: 1]
[Stage2] Ep 22700 | Avg Rew: 375.19 | Success: 0.00 [Prev: 1]
[Stage2] Ep 22800 | Avg Rew: 359.89 | Success: 0.00 [Prev: 1]
[Stage2] Ep 22900 | Avg Rew: 354.71 | Success: 0.00 [Prev: 1]
[Stage2] Ep 23000 | Avg Rew: 359.37 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.50, Return=325.28

   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 23100 | Avg Rew: 375.11 | Success: 0.00 [Prev: 1]
[Stage2] Ep 23200 | Avg Rew: 361.11 | Success: 0.00 [Prev: 1]
[Stage2] Ep 23300 | Avg Rew: 354.36 | Success: 0.00 [Prev: 1]
[Stage2] Ep 23400 | Avg Rew: 325.93 | Success: 0.00 [Prev: 1]
[Stage2] Ep 23500 | Avg Rew: 374.09 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.60, Return=339.78

[Stage2] Ep 23600 | Avg Rew: 353.25 | Success: 0.00 [Prev: 1]
[Stage2] Ep 23700 | Avg Rew: 334.01 | Success: 0.00 [Prev: 1]
[Stage2] Ep 23800 | Avg Rew: 366.89 | Success: 0.00 [Prev: 1]
[Stage2] Ep 23900 | Avg Rew: 375.70 | Success: 0.00 [Prev: 1]
[Stage2] Ep 24000 | Avg Rew: 332.06 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.30, Return=320.31

Checkpoint saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/ckpt_Stage2_ep24000.pth
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/actor_Stage2_ep24000.pth
[Stage2] Ep 24100 | Avg Rew: 360.73 | Success: 0.00 [Prev: 1]
[Stage2] Ep 24200 | Avg Rew: 327.30 | Success: 0.00 [Prev: 1]
[Stage2] Ep 24300 | Avg Rew: 369.07 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 24400 | Avg Rew: 351.73 | Success: 0.00 [Prev: 1]
[Stage2] Ep 24500 | Avg Rew: 372.10 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.20, Return=326.41

[Stage2] Ep 24600 | Avg Rew: 330.31 | Success: 0.00 [Prev: 1]
[Stage2] Ep 24700 | Avg Rew: 357.30 | Success: 0.00 [Prev: 1]
[Stage2] Ep 24800 | Avg Rew: 358.92 | Success: 0.00 [Prev: 1]
[Stage2] Ep 24900 | Avg Rew: 380.34 | Success: 0.00 [Prev: 1]
[Stage2] Ep 25000 | Avg Rew: 362.45 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.50, Return=325.83

[Stage2] Ep 25100 | Avg Rew: 351.98 | Success: 0.00 [Prev: 1]
[Stage2] Ep 25200 | Avg Rew: 363.74 | Success: 0.00 [Prev: 1]
[Stage2] Ep 25300 | Avg Rew: 404.33 | Success: 0.00 [Prev: 1]
[Stage2] Ep 25400 | Avg Rew: 322.20 | Success: 0.00 [Prev: 1]
[Stage2] Ep 25500 | Avg Rew: 351.07 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.50, Return=333.51

[Stage2] Ep 25600 | Avg Rew: 371.55 | Success: 0.00 [Prev: 1]
[Stage2] Ep 25700 | Avg Rew: 353.89 | Success: 0.00 [Prev: 1]
[Stage2] Ep 25800 | Avg Rew: 377.73 | Success: 0.00 [Prev: 1]
[Stage2] Ep 25900 | Avg Rew: 389.88 | Success: 0.00 [Prev: 1]
[Stage2] Ep 26000 | Avg Rew: 344.83 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.60, Return=337.41

Checkpoint saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/ckpt_Stage2_ep26000.pth
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/actor_Stage2_ep26000.pth
[Stage2] Ep 26100 | Avg Rew: 366.03 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 26200 | Avg Rew: 364.27 | Success: 0.00 [Prev: 1]
[Stage2] Ep 26300 | Avg Rew: 332.04 | Success: 0.00 [Prev: 1]
[Stage2] Ep 26400 | Avg Rew: 407.01 | Success: 0.00 [Prev: 1]
[Stage2] Ep 26500 | Avg Rew: 374.87 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.40, Return=269.37

   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 26600 | Avg Rew: 355.09 | Success: 0.00 [Prev: 1]
[Stage2] Ep 26700 | Avg Rew: 369.71 | Success: 0.00 [Prev: 1]
[Stage2] Ep 26800 | Avg Rew: 360.17 | Success: 0.00 [Prev: 1]
[Stage2] Ep 26900 | Avg Rew: 394.42 | Success: 0.00 [Prev: 1]
[Stage2] Ep 27000 | Avg Rew: 351.25 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.40, Return=315.42

   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 27100 | Avg Rew: 384.39 | Success: 0.00 [Prev: 1]
[Stage2] Ep 27200 | Avg Rew: 373.25 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 27300 | Avg Rew: 354.73 | Success: 0.00 [Prev: 1]
[Stage2] Ep 27400 | Avg Rew: 360.83 | Success: 0.00 [Prev: 1]
[Stage2] Ep 27500 | Avg Rew: 377.26 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.50, Return=316.33

   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 27600 | Avg Rew: 349.34 | Success: 0.00 [Prev: 1]
[Stage2] Ep 27700 | Avg Rew: 386.14 | Success: 0.00 [Prev: 1]
[Stage2] Ep 27800 | Avg Rew: 366.38 | Success: 0.00 [Prev: 1]
[Stage2] Ep 27900 | Avg Rew: 360.42 | Success: 0.00 [Prev: 1]
[Stage2] Ep 28000 | Avg Rew: 351.78 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.70, Return=335.62

